Sentence #,Text,Tag,Offset
Sentence: 1,The,O,"[0, 2]"
Sentence: 1,estimated,O,"[4, 12]"
Sentence: 1,genetic,O,"[14, 20]"
Sentence: 1,correlations,O,"[22, 33]"
Sentence: 1,between,O,"[35, 41]"
Sentence: 1,moisture,O,"[43, 50]"
Sentence: 1,and,O,"[52, 54]"
Sentence: 1,IMF,O,"[56, 58]"
Sentence: 1,in,O,"[60, 61]"
Sentence: 1,Duroc,O,"[63, 67]"
Sentence: 1,",",O,"[68, 68]"
Sentence: 1,and,O,"[70, 72]"
Sentence: 1,pH,O,"[74, 75]"
Sentence: 1,and,O,"[77, 79]"
Sentence: 1,drip,O,"[81, 84]"
Sentence: 1,loss,O,"[86, 89]"
Sentence: 1,in,O,"[91, 92]"
Sentence: 1,Duroc,O,"[94, 98]"
Sentence: 1,were,O,"[100, 103]"
Sentence: 1,both,O,"[105, 108]"
Sentence: 1,-1111,O,"[110, 114]"
Sentence: 1,.,O,"[115, 115]"
