Sentence #,Text,Tag,Offset
Sentence: 1,Records,O,"[0, 6]"
Sentence: 1,of,O,"[8, 9]"
Sentence: 1,11111,O,"[11, 15]"
Sentence: 1,animals,O,"[17, 23]"
Sentence: 1,descended,O,"[25, 33]"
Sentence: 1,from,O,"[35, 38]"
Sentence: 1,111,O,"[40, 42]"
Sentence: 1,sires,O,"[44, 48]"
Sentence: 1,and,O,"[50, 52]"
Sentence: 1,11111,O,"[54, 58]"
Sentence: 1,dams,O,"[60, 63]"
Sentence: 1,were,O,"[65, 68]"
Sentence: 1,taken,O,"[70, 74]"
Sentence: 1,for,O,"[76, 78]"
Sentence: 1,this,O,"[80, 83]"
Sentence: 1,study,O,"[85, 89]"
Sentence: 1,over,O,"[91, 94]"
Sentence: 1,a,O,"[96, 96]"
Sentence: 1,period,O,"[98, 103]"
Sentence: 1,of,O,"[105, 106]"
Sentence: 1,11,O,"[108, 109]"
Sentence: 1,years,O,"[111, 115]"
Sentence: 1,(,O,"[117, 117]"
Sentence: 1,111111111,O,"[118, 126]"
Sentence: 1,),O,"[127, 127]"
Sentence: 1,.,O,"[128, 128]"
