Sentence #,Text,Tag,Offset
Sentence: 1,These,O,"[0, 4]"
Sentence: 1,estimated,O,"[6, 14]"
Sentence: 1,parameters,O,"[16, 25]"
Sentence: 1,allow,O,"[27, 31]"
Sentence: 1,Merino,O,"[33, 38]"
Sentence: 1,breeders,O,"[40, 47]"
Sentence: 1,to,O,"[49, 50]"
Sentence: 1,combine,O,"[52, 58]"
Sentence: 1,wool,O,"[60, 63]"
Sentence: 1,and,O,"[65, 67]"
Sentence: 1,meat,O,"[69, 72]"
Sentence: 1,objectives,O,"[74, 83]"
Sentence: 1,without,O,"[85, 91]"
Sentence: 1,compromising,O,"[93, 104]"
Sentence: 1,meat,O,"[106, 109]"
Sentence: 1,quality,O,"[111, 117]"
Sentence: 1,.,O,"[118, 118]"
