Sentence #,Text,Tag,Offset
Sentence: 1,Selection,O,"[0, 8]"
Sentence: 1,to,O,"[10, 11]"
Sentence: 1,increase,O,"[13, 20]"
Sentence: 1,IMF,O,"[22, 24]"
Sentence: 1,will,O,"[26, 29]"
Sentence: 1,improve,O,"[31, 37]"
Sentence: 1,meat,O,"[39, 42]"
Sentence: 1,tenderness,O,"[44, 53]"
Sentence: 1,and,O,"[55, 57]"
Sentence: 1,color,O,"[59, 63]"
Sentence: 1,which,O,"[65, 69]"
Sentence: 1,may,O,"[71, 73]"
Sentence: 1,address,O,"[75, 81]"
Sentence: 1,some,O,"[83, 86]"
Sentence: 1,of,O,"[88, 89]"
Sentence: 1,the,O,"[91, 93]"
Sentence: 1,issues,O,"[95, 100]"
Sentence: 1,with,O,"[102, 105]"
Sentence: 1,Merino,O,"[107, 112]"
Sentence: 1,meat,O,"[114, 117]"
Sentence: 1,quality,O,"[119, 125]"
Sentence: 1,.,O,"[126, 126]"
