Sentence #,Text,Tag,Offset
Sentence: 1,Estimated,O,"[0, 8]"
Sentence: 1,heritabilities,O,"[10, 23]"
Sentence: 1,for,O,"[25, 27]"
Sentence: 1,IMF,O,"[29, 31]"
Sentence: 1,",",O,"[32, 32]"
Sentence: 1,SF5,O,"[34, 36]"
Sentence: 1,",",O,"[37, 37]"
Sentence: 1,pHLL,O,"[39, 42]"
Sentence: 1,",",O,"[43, 43]"
Sentence: 1,pHST,O,"[45, 48]"
Sentence: 1,",",O,"[49, 49]"
Sentence: 1,retail,O,"[51, 56]"
Sentence: 1,meat,O,"[58, 61]"
Sentence: 1,color,O,"[63, 67]"
Sentence: 1,lightness,O,"[69, 77]"
Sentence: 1,(,O,"[79, 79]"
Sentence: 1,),O,"[80, 80]"
Sentence: 1,",",O,"[81, 81]"
Sentence: 1,myoglobin,O,"[83, 91]"
Sentence: 1,",",O,"[92, 92]"
Sentence: 1,iron,O,"[94, 97]"
Sentence: 1,",",O,"[98, 98]"
Sentence: 1,zinc,O,"[100, 103]"
Sentence: 1,and,O,"[105, 107]"
Sentence: 1,across,O,"[109, 114]"
Sentence: 1,the,O,"[116, 118]"
Sentence: 1,range,O,"[120, 124]"
Sentence: 1,of,O,"[126, 127]"
Sentence: 1,long-chain,O,"[129, 138]"
Sentence: 1,fatty,O,"[140, 144]"
Sentence: 1,acids,O,"[146, 150]"
Sentence: 1,were,O,"[152, 155]"
Sentence: 1,11111111111,O,"[157, 167]"
Sentence: 1,",",O,"[168, 168]"
Sentence: 1,11111111111,O,"[170, 180]"
Sentence: 1,",",O,"[181, 181]"
Sentence: 1,11111111111,O,"[183, 193]"
Sentence: 1,",",O,"[194, 194]"
Sentence: 1,11111111111,O,"[196, 206]"
Sentence: 1,",",O,"[207, 207]"
Sentence: 1,11111111111,O,"[209, 219]"
Sentence: 1,",",O,"[220, 220]"
Sentence: 1,11111111111,O,"[222, 232]"
Sentence: 1,",",O,"[233, 233]"
Sentence: 1,11111111111,O,"[235, 245]"
Sentence: 1,",",O,"[246, 246]"
Sentence: 1,11111111111,O,"[248, 258]"
Sentence: 1,",",O,"[259, 259]"
Sentence: 1,and,O,"[261, 263]"
Sentence: 1,range,O,"[265, 269]"
Sentence: 1,of,O,"[271, 272]"
Sentence: 1,1111,O,"[274, 277]"
Sentence: 1,(,O,"[279, 279]"
Sentence: 1,eicosapentaenoic,O,"[280, 295]"
Sentence: 1,",",O,"[296, 296]"
Sentence: 1,docosapentaenoic,O,"[298, 313]"
Sentence: 1,",",O,"[314, 314]"
Sentence: 1,and,O,"[316, 318]"
Sentence: 1,arachidonic,O,"[320, 330]"
Sentence: 1,acids,O,"[332, 336]"
Sentence: 1,),O,"[337, 337]"
Sentence: 1,to,O,"[339, 340]"
Sentence: 1,11111111111,O,"[342, 352]"
Sentence: 1,(,O,"[354, 354]"
Sentence: 1,linoleic,O,"[355, 362]"
Sentence: 1,acid,O,"[364, 367]"
Sentence: 1,),O,"[368, 368]"
Sentence: 1,",",O,"[369, 369]"
Sentence: 1,respectively,O,"[371, 382]"
Sentence: 1,.,O,"[383, 383]"
