Sentence #,Text,Tag,Offset
Sentence: 1,Survival,O,"[0, 7]"
Sentence: 1,decreased,O,"[9, 17]"
Sentence: 1,with,O,"[19, 22]"
Sentence: 1,increasing,O,"[24, 33]"
Sentence: 1,litter,O,"[35, 40]"
Sentence: 1,size,O,"[42, 45]"
Sentence: 1,(,O,"[47, 47]"
Sentence: 1,rg,O,"[48, 49]"
Sentence: 1,=,O,"[51, 51]"
Sentence: 1,-1111,O,"[53, 57]"
Sentence: 1,up,O,"[59, 60]"
Sentence: 1,to,O,"[62, 63]"
Sentence: 1,-1111,O,"[65, 69]"
Sentence: 1,),O,"[70, 70]"
Sentence: 1,and,O,"[72, 74]"
Sentence: 1,the,O,"[76, 78]"
Sentence: 1,probability,O,"[80, 90]"
Sentence: 1,of,O,"[92, 93]"
Sentence: 1,being,O,"[95, 99]"
Sentence: 1,crushed,O,"[101, 107]"
Sentence: 1,under,O,"[109, 113]"
Sentence: 1,the,O,"[115, 117]"
Sentence: 1,sow,O,"[119, 121]"
Sentence: 1,increased,O,"[123, 131]"
Sentence: 1,.,O,"[132, 132]"
