Sentence #,Text,Tag,Offset
Sentence: 1,Genetic,O,"[0, 6]"
Sentence: 1,correlations,O,"[8, 19]"
Sentence: 1,between,O,"[21, 27]"
Sentence: 1,growth,O,"[29, 34]"
Sentence: 1,of,O,"[36, 37]"
Sentence: 1,different,O,"[39, 47]"
Sentence: 1,body,O,"[49, 52]"
Sentence: 1,tissues,O,"[54, 60]"
Sentence: 1,scanned,O,"[62, 68]"
Sentence: 1,using,O,"[70, 74]"
Sentence: 1,CT,O,"[76, 77]"
Sentence: 1,",",O,"[78, 78]"
Sentence: 1,lean,O,"[80, 83]"
Sentence: 1,meat,O,"[85, 88]"
Sentence: 1,percentage,O,"[90, 99]"
Sentence: 1,(,O,"[101, 101]"
Sentence: 1,LMP,O,"[102, 104]"
Sentence: 1,),O,"[105, 105]"
Sentence: 1,calculated,O,"[107, 116]"
Sentence: 1,from,O,"[118, 121]"
Sentence: 1,CT,O,"[123, 124]"
Sentence: 1,and,O,"[126, 128]"
Sentence: 1,more,O,"[130, 133]"
Sentence: 1,traditional,O,"[135, 145]"
Sentence: 1,production,O,"[147, 156]"
Sentence: 1,traits,O,"[158, 163]"
Sentence: 1,such,O,"[165, 168]"
Sentence: 1,as,O,"[170, 171]"
Sentence: 1,the,O,"[173, 175]"
Sentence: 1,average,O,"[177, 183]"
Sentence: 1,daily,O,"[185, 189]"
Sentence: 1,gain,O,"[191, 194]"
Sentence: 1,(,O,"[196, 196]"
Sentence: 1,ADG,O,"[197, 199]"
Sentence: 1,),O,"[200, 200]"
Sentence: 1,from,O,"[202, 205]"
Sentence: 1,birth,O,"[207, 211]"
Sentence: 1,to,O,"[213, 214]"
Sentence: 1,11,O,"[216, 217]"
Sentence: 1,kg,O,"[219, 220]"
Sentence: 1,(,O,"[222, 222]"
Sentence: 1,ADG1,O,"[223, 226]"
Sentence: 1,),O,"[227, 227]"
Sentence: 1,",",O,"[228, 228]"
Sentence: 1,the,O,"[230, 232]"
Sentence: 1,ADG,O,"[234, 236]"
Sentence: 1,from,O,"[238, 241]"
Sentence: 1,11,O,"[243, 244]"
Sentence: 1,kg,O,"[246, 247]"
Sentence: 1,to,O,"[249, 250]"
Sentence: 1,111,O,"[252, 254]"
Sentence: 1,kg,O,"[256, 257]"
Sentence: 1,(,O,"[259, 259]"
Sentence: 1,ADG2,O,"[260, 263]"
Sentence: 1,),O,"[264, 264]"
Sentence: 1,and,O,"[266, 268]"
Sentence: 1,the,O,"[270, 272]"
Sentence: 1,feed,O,"[274, 277]"
Sentence: 1,conversion,O,"[279, 288]"
Sentence: 1,ratio,O,"[290, 294]"
Sentence: 1,(,O,"[296, 296]"
Sentence: 1,FCR,O,"[297, 299]"
Sentence: 1,),O,"[300, 300]"
Sentence: 1,from,O,"[302, 305]"
Sentence: 1,11,O,"[307, 308]"
Sentence: 1,kg,O,"[310, 311]"
Sentence: 1,to,O,"[313, 314]"
Sentence: 1,111,O,"[316, 318]"
Sentence: 1,kg,O,"[320, 321]"
Sentence: 1,were,O,"[323, 326]"
Sentence: 1,also,O,"[328, 331]"
Sentence: 1,estimated,O,"[333, 341]"
Sentence: 1,from,O,"[343, 346]"
Sentence: 1,data,O,"[348, 351]"
Sentence: 1,on,O,"[353, 354]"
Sentence: 1,the,O,"[356, 358]"
Sentence: 1,same,O,"[360, 363]"
Sentence: 1,boars,O,"[365, 369]"
Sentence: 1,.,O,"[370, 370]"
