Sentence #,Text,Tag,Offset
Sentence: 1,Genetic,O,"[0, 6]"
Sentence: 1,parameters,O,"[8, 17]"
Sentence: 1,were,O,"[19, 22]"
Sentence: 1,estimated,O,"[24, 32]"
Sentence: 1,based,O,"[34, 38]"
Sentence: 1,on,O,"[40, 41]"
Sentence: 1,multi-trait,O,"[43, 53]"
Sentence: 1,animal,O,"[55, 60]"
Sentence: 1,models,O,"[62, 67]"
Sentence: 1,using,O,"[69, 73]"
Sentence: 1,the,O,"[75, 77]"
Sentence: 1,average,O,"[79, 85]"
Sentence: 1,information-restricted,O,"[87, 108]"
Sentence: 1,maximum,O,"[110, 116]"
Sentence: 1,likelihood,O,"[118, 127]"
Sentence: 1,(,O,"[129, 129]"
Sentence: 1,AI-REML,O,"[130, 136]"
Sentence: 1,),O,"[137, 137]"
Sentence: 1,methodology,O,"[139, 149]"
Sentence: 1,.,O,"[150, 150]"
