Sentence #,Text,Tag,Offset
Sentence: 1,Selection,O,"[0, 8]"
Sentence: 1,for,O,"[10, 12]"
Sentence: 1,feed,O,"[14, 17]"
Sentence: 1,conversion,O,"[19, 28]"
Sentence: 1,ratio,O,"[30, 34]"
Sentence: 1,also,O,"[36, 39]"
Sentence: 1,reduces,O,"[41, 47]"
Sentence: 1,sow,O,"[49, 51]"
Sentence: 1,appetite,O,"[53, 60]"
Sentence: 1,and,O,"[62, 64]"
Sentence: 1,fatness,O,"[66, 72]"
Sentence: 1,",",O,"[73, 73]"
Sentence: 1,which,O,"[75, 79]"
Sentence: 1,",",O,"[80, 80]"
Sentence: 1,together,O,"[82, 89]"
Sentence: 1,with,O,"[91, 94]"
Sentence: 1,increased,O,"[96, 104]"
Sentence: 1,prolificacy,O,"[106, 116]"
Sentence: 1,",",O,"[117, 117]"
Sentence: 1,has,O,"[119, 121]"
Sentence: 1,been,O,"[123, 126]"
Sentence: 1,seen,O,"[128, 131]"
Sentence: 1,as,O,"[133, 134]"
Sentence: 1,a,O,"[136, 136]"
Sentence: 1,hindrance,O,"[138, 146]"
Sentence: 1,for,O,"[148, 150]"
Sentence: 1,sow,O,"[152, 154]"
Sentence: 1,lifetime,O,"[156, 163]"
Sentence: 1,performance,O,"[165, 175]"
Sentence: 1,.,O,"[176, 176]"
