Sentence #,Text,Tag,Offset
Sentence: 1,The,O,"[0, 2]"
Sentence: 1,aims,O,"[4, 7]"
Sentence: 1,of,O,"[9, 10]"
Sentence: 1,our,O,"[12, 14]"
Sentence: 1,study,O,"[16, 20]"
Sentence: 1,were,O,"[22, 25]"
Sentence: 1,to,O,"[27, 28]"
Sentence: 1,derive,O,"[30, 35]"
Sentence: 1,equations,O,"[37, 45]"
Sentence: 1,for,O,"[47, 49]"
Sentence: 1,sow,O,"[51, 53]"
Sentence: 1,RFI,O,"[55, 57]"
Sentence: 1,during,O,"[59, 64]"
Sentence: 1,lactation,O,"[66, 74]"
Sentence: 1,(,O,"[76, 76]"
Sentence: 1,SRFI,O,"[77, 80]"
Sentence: 1,),O,"[81, 81]"
Sentence: 1,and,O,"[83, 85]"
Sentence: 1,to,O,"[87, 88]"
Sentence: 1,evaluate,O,"[90, 97]"
Sentence: 1,the,O,"[99, 101]"
Sentence: 1,effect,O,"[103, 108]"
Sentence: 1,of,O,"[110, 111]"
Sentence: 1,selection,O,"[113, 121]"
Sentence: 1,for,O,"[123, 125]"
Sentence: 1,RFI,O,"[127, 129]"
Sentence: 1,during,O,"[131, 136]"
Sentence: 1,growth,O,"[138, 143]"
Sentence: 1,on,O,"[145, 146]"
Sentence: 1,sow,O,"[148, 150]"
Sentence: 1,traits,O,"[152, 157]"
Sentence: 1,during,O,"[159, 164]"
Sentence: 1,lactation,O,"[166, 174]"
Sentence: 1,.,O,"[175, 175]"
