Sentence #,Text,Tag,Offset
Sentence: 1,Metabolic,O,"[0, 8]"
Sentence: 1,changes,O,"[10, 16]"
Sentence: 1,previously,O,"[18, 27]"
Sentence: 1,observed,O,"[29, 36]"
Sentence: 1,during,O,"[38, 43]"
Sentence: 1,growth,O,"[45, 50]"
Sentence: 1,in,O,"[52, 53]"
Sentence: 1,response,O,"[55, 62]"
Sentence: 1,to,O,"[64, 65]"
Sentence: 1,selection,O,"[67, 75]"
Sentence: 1,might,O,"[77, 81]"
Sentence: 1,explain,O,"[83, 89]"
Sentence: 1,part,O,"[91, 94]"
Sentence: 1,of,O,"[96, 97]"
Sentence: 1,the,O,"[99, 101]"
Sentence: 1,better,O,"[103, 108]"
Sentence: 1,efficiency,O,"[110, 119]"
Sentence: 1,of,O,"[121, 122]"
Sentence: 1,the,O,"[124, 126]"
Sentence: 1,low-RFI,O,"[128, 134]"
Sentence: 1,sows,O,"[136, 139]"
Sentence: 1,",",O,"[140, 140]"
Sentence: 1,decreasing,O,"[142, 151]"
Sentence: 1,basal,O,"[153, 157]"
Sentence: 1,metabolism,O,"[159, 168]"
Sentence: 1,and,O,"[170, 172]"
Sentence: 1,favoring,O,"[174, 181]"
Sentence: 1,rapid,O,"[183, 187]"
Sentence: 1,allocation,O,"[189, 198]"
Sentence: 1,of,O,"[200, 201]"
Sentence: 1,resources,O,"[203, 211]"
Sentence: 1,to,O,"[213, 214]"
Sentence: 1,lactation,O,"[216, 224]"
Sentence: 1,.,O,"[225, 225]"
