Sentence #,Text,Tag,Offset
Sentence: 1,Selection,O,"[0, 8]"
Sentence: 1,experiments,O,"[10, 20]"
Sentence: 1,have,O,"[22, 25]"
Sentence: 1,found,O,"[27, 31]"
Sentence: 1,that,O,"[33, 36]"
Sentence: 1,low,O,"[38, 40]"
Sentence: 1,RFI,O,"[42, 44]"
Sentence: 1,in,O,"[46, 47]"
Sentence: 1,the,O,"[49, 51]"
Sentence: 1,growing,O,"[53, 59]"
Sentence: 1,pig,O,"[61, 63]"
Sentence: 1,is,O,"[65, 66]"
Sentence: 1,genetically,O,"[68, 78]"
Sentence: 1,correlated,O,"[80, 89]"
Sentence: 1,with,O,"[91, 94]"
Sentence: 1,reduced,O,"[96, 102]"
Sentence: 1,fatness,O,"[104, 110]"
Sentence: 1,and,O,"[112, 114]"
Sentence: 1,feed,O,"[116, 119]"
Sentence: 1,intake,O,"[121, 126]"
Sentence: 1,.,O,"[127, 127]"
