Sentence #,Text,Tag,Offset
Sentence: 1,Overall,O,"[0, 6]"
Sentence: 1,prolificacy,O,"[8, 18]"
Sentence: 1,increased,O,"[20, 28]"
Sentence: 1,significantly,O,"[30, 42]"
Sentence: 1,in,O,"[44, 45]"
Sentence: 1,the,O,"[47, 49]"
Sentence: 1,new,O,"[51, 53]"
Sentence: 1,strain,O,"[55, 60]"
Sentence: 1,as,O,"[62, 63]"
Sentence: 1,compared,O,"[65, 72]"
Sentence: 1,to,O,"[74, 75]"
Sentence: 1,the,O,"[77, 79]"
Sentence: 1,native,O,"[81, 86]"
Sentence: 1,Malpura,O,"[88, 94]"
Sentence: 1,sheep,O,"[96, 100]"
Sentence: 1,.,O,"[101, 101]"
