Sentence #,Text,Tag,Offset
Sentence: 1,The,O,"[0, 2]"
Sentence: 1,FecB,O,"[4, 7]"
Sentence: 1,gene,O,"[9, 12]"
Sentence: 1,of,O,"[14, 15]"
Sentence: 1,Garole,O,"[17, 22]"
Sentence: 1,sheep,O,"[24, 28]"
Sentence: 1,was,O,"[30, 32]"
Sentence: 1,introgressed,O,"[34, 45]"
Sentence: 1,into,O,"[47, 50]"
Sentence: 1,non-prolific,O,"[52, 63]"
Sentence: 1,Malpura,O,"[65, 71]"
Sentence: 1,sheep,O,"[73, 77]"
Sentence: 1,to,O,"[79, 80]"
Sentence: 1,evolve,O,"[82, 87]"
Sentence: 1,a,O,"[89, 89]"
Sentence: 1,new,O,"[91, 93]"
Sentence: 1,prolific,O,"[95, 102]"
Sentence: 1,sheep,O,"[104, 108]"
Sentence: 1,strain,O,"[110, 115]"
Sentence: 1,Garole,O,"[117, 122]"
Sentence: 1,×,O,"[124, 124]"
Sentence: 1,Malpura,O,"[126, 132]"
Sentence: 1,(,O,"[134, 134]"
Sentence: 1,GM,O,"[135, 136]"
Sentence: 1,),O,"[137, 137]"
Sentence: 1,",",O,"[138, 138]"
Sentence: 1,suitable,O,"[140, 147]"
Sentence: 1,for,O,"[149, 151]"
Sentence: 1,semi-arid,O,"[153, 161]"
Sentence: 1,conditions,O,"[163, 172]"
Sentence: 1,.,O,"[173, 173]"
