Sentence #,Text,Tag,Offset
Sentence: 1,Genetic,O,"[0, 6]"
Sentence: 1,correlations,O,"[8, 19]"
Sentence: 1,between,O,"[21, 27]"
Sentence: 1,11,O,"[29, 30]"
Sentence: 1,wool,O,"[32, 35]"
Sentence: 1,production,O,"[37, 46]"
Sentence: 1,and,O,"[48, 50]"
Sentence: 1,quality,O,"[52, 58]"
Sentence: 1,traits,O,"[60, 65]"
Sentence: 1,and,O,"[67, 69]"
Sentence: 1,11,O,"[71, 72]"
Sentence: 1,meat,O,"[74, 77]"
Sentence: 1,quality,O,"[79, 85]"
Sentence: 1,and,O,"[87, 89]"
Sentence: 1,nutritional,O,"[91, 101]"
Sentence: 1,value,O,"[103, 107]"
Sentence: 1,traits,O,"[109, 114]"
Sentence: 1,were,O,"[116, 119]"
Sentence: 1,estimated,O,"[121, 129]"
Sentence: 1,for,O,"[131, 133]"
Sentence: 1,Merino,O,"[135, 140]"
Sentence: 1,sheep,O,"[142, 146]"
Sentence: 1,from,O,"[148, 151]"
Sentence: 1,an,O,"[153, 154]"
Sentence: 1,Information,O,"[156, 166]"
Sentence: 1,Nucleus,O,"[168, 174]"
Sentence: 1,(,O,"[176, 176]"
Sentence: 1,IN,O,"[177, 178]"
Sentence: 1,),O,"[179, 179]"
Sentence: 1,.,O,"[180, 180]"
