Sentence #,Text,Tag,Offset
Sentence: 1,In,O,"[0, 1]"
Sentence: 1,1-yr-old,O,"[3, 10]"
Sentence: 1,ewes,O,"[12, 15]"
Sentence: 1,",",O,"[16, 16]"
Sentence: 1,BW,O,"[18, 19]"
Sentence: 1,change,O,"[21, 26]"
Sentence: 1,during,O,"[28, 33]"
Sentence: 1,the,O,"[35, 37]"
Sentence: 1,mating,O,"[39, 44]"
Sentence: 1,period,O,"[46, 51]"
Sentence: 1,had,O,"[53, 55]"
Sentence: 1,a,O,"[57, 57]"
Sentence: 1,positive,O,"[59, 66]"
Sentence: 1,genetic,O,"[68, 74]"
Sentence: 1,correlation,O,"[76, 86]"
Sentence: 1,with,O,"[88, 91]"
Sentence: 1,number,O,"[93, 98]"
Sentence: 1,of,O,"[100, 101]"
Sentence: 1,lambs,O,"[103, 107]"
Sentence: 1,weaned,O,"[109, 114]"
Sentence: 1,(,O,"[116, 116]"
Sentence: 1,rg,O,"[117, 118]"
Sentence: 1,=,O,"[120, 120]"
Sentence: 1,1111,O,"[122, 125]"
Sentence: 1,),O,"[126, 126]"
Sentence: 1,;,O,"[127, 127]"
Sentence: 1,BW,O,"[129, 130]"
Sentence: 1,change,O,"[132, 137]"
Sentence: 1,during,O,"[139, 144]"
Sentence: 1,pregnancy,O,"[146, 154]"
Sentence: 1,had,O,"[156, 158]"
Sentence: 1,a,O,"[160, 160]"
Sentence: 1,positive,O,"[162, 169]"
Sentence: 1,genetic,O,"[171, 177]"
Sentence: 1,correlation,O,"[179, 189]"
Sentence: 1,with,O,"[191, 194]"
Sentence: 1,total,O,"[196, 200]"
Sentence: 1,weight,O,"[202, 207]"
Sentence: 1,of,O,"[209, 210]"
Sentence: 1,lambs,O,"[212, 216]"
Sentence: 1,born,O,"[218, 221]"
Sentence: 1,(,O,"[223, 223]"
Sentence: 1,rg,O,"[224, 225]"
Sentence: 1,=,O,"[227, 227]"
Sentence: 1,1111,O,"[229, 232]"
Sentence: 1,),O,"[233, 233]"
Sentence: 1,and,O,"[235, 237]"
Sentence: 1,a,O,"[239, 239]"
Sentence: 1,negative,O,"[241, 248]"
Sentence: 1,genetic,O,"[250, 256]"
Sentence: 1,correlation,O,"[258, 268]"
Sentence: 1,with,O,"[270, 273]"
Sentence: 1,number,O,"[275, 280]"
Sentence: 1,of,O,"[282, 283]"
Sentence: 1,lambs,O,"[285, 289]"
Sentence: 1,weaned,O,"[291, 296]"
Sentence: 1,(,O,"[298, 298]"
Sentence: 1,rg,O,"[299, 300]"
Sentence: 1,=,O,"[302, 302]"
Sentence: 1,-1111,O,"[304, 308]"
Sentence: 1,),O,"[309, 309]"
Sentence: 1,.,O,"[310, 310]"
